Date,Grand Total,Territory,Zone,Item Name,Quantity,Amount
30/07/2025,913661.92,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Cola-2250 ml,784,689920
30/07/2025,913661.92,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Twister-1000 ml,330,257400
30/07/2025,913661.92,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Malta-500 ml,25,24000
30/07/2025,913661.92,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Lemon up-500 ml,1,960
30/07/2025,289471.136,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Cola-1500 ml,195,210600
30/07/2025,289471.136,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Red Anar-300 ml,34,24480
30/07/2025,289471.136,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Twister-300 ml,26,18720
30/07/2025,289471.136,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Twister-300 ml,222,159840
30/07/2025,149631.82,T - Jhang,A - Jhang-I,Cola-2250 ml,224,197120
30/07/2025,1103311.854,T - UPPER DIR-WARHI,A - Timar Garha,Twister-1500 ml,1565,1690200
29/07/2025,67439.736,T - MINGORA CITY,A - Sawat,Cola-1000 ml,120,93600
30/07/2025,1463437.016,T - MINGORA CITY,A - Sawat,Cola-1000 ml,825,643500
30/07/2025,1463437.016,T - MINGORA CITY,A - Sawat,Cola-1500 ml,608,656640
30/07/2025,1463437.016,T - MINGORA CITY,A - Sawat,Cola-2250 ml,336,295680
30/07/2025,1463437.016,T - MINGORA CITY,A - Sawat,Ice cream soda-1500 ml,104,112320
30/07/2025,1463437.016,T - MINGORA CITY,A - Sawat,Cola-1000 ml,75,58500
30/07/2025,1463437.016,T - MINGORA CITY,A - Sawat,Cola-1500 ml,328,354240
30/07/2025,1201162.365,T - Yar Hussain (Sawabi),A - Swabi,Twister-1500 ml,520,561600
30/07/2025,1201162.365,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,330,257400
30/07/2025,1201162.365,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,1,780
30/07/2025,1201162.365,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,1154,900120
30/07/2025,1891089.938,T - MATTANI (PSW),A - Peshawar Cantt,Cola-1000 ml,660,514800
30/07/2025,1891089.938,T - MATTANI (PSW),A - Peshawar Cantt,Cola-1500 ml,312,336960
30/07/2025,1891089.938,T - MATTANI (PSW),A - Peshawar Cantt,Cola-2250 ml,224,197120
30/07/2025,1891089.938,T - MATTANI (PSW),A - Peshawar Cantt,Twister-1000 ml,330,257400
30/07/2025,1891089.938,T - MATTANI (PSW),A - Peshawar Cantt,Twister-2250 ml,896,788480
30/07/2025,1891089.938,T - MATTANI (PSW),A - Peshawar Cantt,Twister-1500 ml,520,561600
30/07/2025,1613020.78,T - Shabqadar,A - Shabqadar,Twister-1500 ml,2288,2471040
30/07/2025,299263.641,T - Shabqadar,A - Shabqadar,Twister-2250 ml,448,394240
30/07/2025,619908.889,T - Main Market (Smd),A - Dijkot,Cola-1000 ml,495,386100
30/07/2025,619908.889,T - Main Market (Smd),A - Dijkot,Cola-1500 ml,416,449280
30/07/2025,619908.889,T - Main Market (Smd),A - Dijkot,Water-600 ml,132,79200
30/07/2025,644784.543,T - Bunair,A - Takht Bhai,Malta-1500 ml,104,112320
30/07/2025,644784.543,T - Bunair,A - Takht Bhai,Red Anar-1500 ml,104,112320
30/07/2025,644784.543,T - Bunair,A - Takht Bhai,Twister-1000 ml,495,386100
30/07/2025,644784.543,T - Bunair,A - Takht Bhai,Twister-1500 ml,312,336960
29/07/2025,74815.911,T - Satellite Town (Sgd),A - Satellite Town (Sgd),Cola-2250 ml,112,98560
29/07/2025,897790.924,T - Satellite Town (Sgd),A - Satellite Town (Sgd),Cola-2250 ml,492,432960
29/07/2025,897790.924,T - Satellite Town (Sgd),A - Satellite Town (Sgd),Cola-2250 ml,852,749760
29/07/2025,897790.924,T - Satellite Town (Sgd),A - Satellite Town (Sgd),Cola-2250 ml,672,591360
29/07/2025,897790.924,T - Satellite Town (Sgd),A - Satellite Town (Sgd),Malta-2250 ml,672,591360
30/07/2025,74815.911,T - Farooqabad,A - Farooqabad,Cola-2250 ml,112,98560
30/07/2025,1005440.721,T - Farooqabad,A - Farooqabad,Cola-1000 ml,165,128700
30/07/2025,1005440.721,T - Farooqabad,A - Farooqabad,Cola-1500 ml,104,112320
30/07/2025,1005440.721,T - Farooqabad,A - Farooqabad,Cola-2250 ml,560,492800
30/07/2025,1005440.721,T - Farooqabad,A - Farooqabad,Lemon up-1500 ml,104,112320
30/07/2025,1005440.721,T - Farooqabad,A - Farooqabad,Twister-1000 ml,165,128700
30/07/2025,1005440.721,T - Farooqabad,A - Farooqabad,Twister-2250 ml,202.25,177980
30/07/2025,1005440.721,T - Farooqabad,A - Farooqabad,Twister-2250 ml,245.75,216260
30/07/2025,1112755.644,T - Warburton,A - Nankana Shb,Cola-1000 ml,1980,1544400
30/07/2025,1047422.745,T - Safdarabad,A - Safdarabad,Cola-2250 ml,1568,1379840
30/07/2025,383844.497,T - Tour Dehair,A - Jahangira,Twister-1000 ml,683,532740
30/07/2025,286226.59,T - Tour Dehair,A - Jahangira,Twister-1500 ml,344.166,371699.28
30/07/2025,286226.59,T - Tour Dehair,A - Jahangira,Twister-1500 ml,61.834,66780.72
30/07/2025,218547.396,T - Tour Dehair,A - Jahangira,Twister-1500 ml,31.166,33659.28
30/07/2025,218547.396,T - Tour Dehair,A - Jahangira,Twister-1500 ml,278.834,301140.72
30/07/2025,664807.078,T - Tour Dehair,A - Jahangira,Twister-1500 ml,943,1018440
